"Year","Total no catch","Total postive catch","< 10","10 to 19","20 to 29","30 to 39","40 to 49","50 to 59","60 to 69","70 to 79","80 to 89","90 to 99","> 100"
"2003",272,2,2,0,0,0,0,0,0,0,0,0,0
"2004",223,0,0,0,0,0,0,0,0,0,0,0,0
"2005",294,2,2,0,0,0,0,0,0,0,0,0,0
"2006",290,2,2,0,0,0,0,0,0,0,0,0,0
"2007",331,1,1,0,0,0,0,0,0,0,0,0,0
"2008",295,3,2,0,0,1,0,0,0,0,0,0,0
"2009",290,2,2,0,0,0,0,0,0,0,0,0,0
"2010",298,2,2,0,0,0,0,0,0,0,0,0,0
"2011",310,4,4,0,0,0,0,0,0,0,0,0,0
"2012",302,4,3,0,0,1,0,0,0,0,0,0,0
"2013",219,1,1,0,0,0,0,0,0,0,0,0,0
"2014",304,7,7,0,0,0,0,0,0,0,0,0,0
"2015",277,6,6,0,0,0,0,0,0,0,0,0,0
"2016",305,4,4,0,0,0,0,0,0,0,0,0,0
"2017",316,5,5,0,0,0,0,0,0,0,0,0,0
"2018",297,8,8,0,0,0,0,0,0,0,0,0,0
"2019",158,3,2,0,0,0,0,0,0,0,0,0,0
"2021",296,6,6,0,0,0,0,0,0,0,0,0,0
"2022",271,4,4,0,0,0,0,0,0,0,0,0,0
"2023",294,3,3,0,0,0,0,0,0,0,0,0,0
"2024",305,5,5,0,0,0,0,0,0,0,0,0,0
"2025",311,3,3,0,0,0,0,0,0,0,0,0,0
"Average across years",284.454545454545,3.5,3.36363636363636,0,0,0.0909090909090909,0,0,0,0,0,0,0
