"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",60,9,3,1,4,1,0,0,0,0
"2004",53,9,4,3,1,0,0,1,1,0
"2005",71,3,0,0,3,0,0,0,0,0
"2006",49,4,2,0,2,0,0,0,0,0
"2007",69,4,2,0,1,1,0,0,0,0
"2008",61,4,2,1,1,0,0,0,0,0
"2009",48,4,1,0,3,0,0,0,0,0
"2010",44,13,8,2,0,2,1,0,0,0
"2011",34,4,2,2,0,0,0,0,0,0
"2012",46,11,5,2,3,0,1,0,0,0
"2013",17,9,3,2,3,1,0,0,0,0
"2014",26,6,0,1,3,1,0,0,0,1
"2015",29,4,2,0,1,1,0,0,0,0
"2016",26,5,2,1,2,0,0,0,0,0
"2017",27,3,1,0,1,1,0,0,0,0
"2018",23,5,4,1,0,0,0,0,0,0
"2019",18,2,0,2,0,0,0,0,0,0
"2021",22,9,4,1,4,0,0,0,0,0
"2022",20,5,2,1,1,0,1,0,0,0
"2023",19,5,4,0,0,0,1,0,0,0
"2024",21,2,1,0,0,1,0,0,0,0
