"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",426,148,60,39,35,11,2,1,0,0
"2004",405,100,49,19,24,5,2,1,1,0
"2005",543,132,66,28,27,9,0,2,0,0
"2006",507,146,63,38,35,9,1,0,0,0
"2007",537,160,68,40,37,11,4,0,0,0
"2008",536,149,58,41,35,13,1,1,0,0
"2009",535,149,67,28,40,13,1,0,0,0
"2010",568,148,56,28,44,16,4,0,0,0
"2011",551,148,68,36,29,12,3,0,0,0
"2012",549,152,62,28,28,28,5,1,0,0
"2013",360,111,35,17,34,19,6,0,0,0
"2014",543,142,55,26,44,13,3,1,0,0
"2015",525,147,64,20,28,27,7,1,1,0
"2016",544,148,63,20,38,16,9,2,1,0
"2017",561,147,53,27,32,26,6,2,2,0
"2018",550,154,60,23,38,20,12,1,0,0
"2019",281,68,29,17,17,4,1,0,0,0
"2021",540,144,65,21,25,21,11,1,1,0
"2022",518,117,45,25,25,14,5,3,1,0
"2023",517,145,62,29,27,18,6,3,1,0
"2024",540,119,58,16,22,16,6,0,0,1
