"year","count_of_length_cm","count_of_otosag_id"
"2003",108,108
"2004",480,209
"2005",274,151
"2006",262,135
"2007",157,98
"2008",110,85
"2009",94,94
"2010",272,189
"2011",105,105
"2012",817,516
"2013",738,495
"2014",1020,711
"2015",672,359
"2016",1447,695
"2017",952,621
"2018",814,609
"2019",539,383
"2021",679,555
"2022",523,367
"2023",424,347
"2024",722,505
"2025",832,625
