"Year","Total no catch","Total postive catch","< 10","10 to 19","20 to 29","30 to 39","40 to 49","50 to 59","60 to 69","70 to 79","80 to 89","90 to 99","> 100"
"2003",503,39,37,2,0,0,0,0,0,0,0,0,0
"2004",440,30,20,2,3,1,1,1,0,0,0,0,2
"2005",598,43,38,1,1,1,0,1,0,0,0,1,0
"2006",602,38,34,1,0,0,1,1,0,0,0,0,0
"2007",657,30,28,1,0,0,0,0,0,1,0,0,0
"2008",655,25,23,1,0,1,0,0,0,0,0,0,0
"2009",658,23,22,0,1,0,0,0,0,0,0,0,0
"2010",676,37,33,0,1,0,0,0,0,0,0,0,1
"2011",673,22,18,2,2,0,0,0,0,0,0,0,0
"2012",648,48,34,2,4,0,1,0,0,0,0,0,5
"2013",422,46,30,4,4,1,0,0,2,2,1,0,1
"2014",580,98,72,7,6,2,0,0,0,0,0,0,4
"2015",609,57,45,4,0,1,0,0,3,0,0,0,4
"2016",611,81,57,5,2,3,3,1,1,1,2,0,5
"2017",634,74,46,10,5,1,1,1,2,0,0,0,5
"2018",624,77,53,8,4,1,0,2,0,0,0,2,2
"2019",306,42,24,3,5,1,1,0,2,0,0,1,1
"2021",590,94,74,10,4,0,1,1,0,0,0,0,2
"2022",584,51,38,1,2,4,0,2,0,1,0,0,0
"2023",609,53,40,6,3,1,1,0,0,1,0,0,1
"2024",581,77,57,5,4,1,0,1,0,1,0,2,3
"2025",617,82,57,7,6,3,4,0,0,0,0,1,2
"Average across years",585.318181818182,53.0454545454545,40,3.72727272727273,2.59090909090909,1,0.636363636363636,0.5,0.454545454545455,0.318181818181818,0.136363636363636,0.318181818181818,1.72727272727273
