"Year","Total no catch","Total postive catch","< 10","10 to 19","20 to 29","30 to 39","40 to 49","50 to 59","60 to 69","70 to 79","80 to 89","90 to 99","> 100"
"2003",496,46,29,1,1,1,1,1,1,0,0,2,8
"2004",435,35,27,2,1,0,0,0,2,0,0,0,2
"2005",602,39,30,3,1,1,0,0,0,0,0,0,3
"2006",607,33,23,3,1,0,0,0,0,1,0,0,4
"2007",637,50,37,4,2,1,0,1,0,0,0,1,2
"2008",641,39,31,3,0,0,0,0,0,0,0,0,4
"2009",635,46,38,3,1,1,0,0,0,1,0,0,2
"2010",660,53,38,6,1,2,0,0,1,0,0,0,5
"2011",642,53,37,3,2,1,1,3,0,0,0,1,4
"2012",645,51,33,4,0,1,0,2,0,2,1,0,7
"2013",422,46,30,4,2,2,2,1,1,0,0,1,3
"2014",625,53,37,4,4,0,0,0,0,1,0,1,6
"2015",597,69,46,7,5,2,1,0,0,1,1,0,5
"2016",642,50,27,8,2,1,0,4,0,0,1,0,7
"2017",650,58,38,6,2,2,3,1,1,0,0,0,4
"2018",661,40,26,4,3,0,0,1,0,0,1,0,4
"2019",329,19,11,2,0,1,1,0,0,0,0,0,4
"2021",625,59,37,5,3,2,1,0,0,0,0,0,5
"2022",568,67,42,4,4,3,1,2,1,0,0,0,9
"2023",612,50,24,1,4,1,1,2,1,1,1,0,10
"2024",597,61,33,4,6,3,1,0,0,1,1,0,9
"2025",644,55,33,4,2,1,1,1,1,0,0,0,10
"Average across years",589.636363636364,48.7272727272727,32.1363636363636,3.86363636363636,2.13636363636364,1.18181818181818,0.636363636363636,0.863636363636364,0.409090909090909,0.363636363636364,0.272727272727273,0.272727272727273,5.31818181818182
