year,count_of_length_cm,count_of_otosag_id
2004,67,67
2005,74,74
2006,44,44
2007,83,80
2008,89,83
2009,86,82
2010,50,0
2011,134,56
2012,77,77
2013,73,73
2014,172,172
2015,169,168
2016,143,142
2017,306,296
2018,263,261
2019,280,223
2021,133,129
2022,132,123
2023,227,221
2024,279,277
2025,454,454
