"Year","Total no catch","Total postive catch","< 10","10 to 19","20 to 29","30 to 39","40 to 49","50 to 59","60 to 69","70 to 79","80 to 89","90 to 99","> 99"
"2003",508,34,31,2,1,0,0,0,0,0,0,0,0
"2004",442,28,25,2,0,0,0,1,0,0,0,0,0
"2005",614,27,22,2,2,0,0,0,0,0,0,0,1
"2006",605,37,35,1,0,0,0,0,0,0,0,0,0
"2007",650,37,34,3,0,0,0,0,0,0,0,0,0
"2008",644,37,34,3,0,0,0,0,0,0,0,0,0
"2009",653,30,27,1,0,0,1,0,0,0,0,0,0
"2010",684,30,29,0,0,0,0,0,0,0,0,0,0
"2011",663,35,34,0,0,1,0,0,0,0,0,0,0
"2012",671,27,24,1,1,0,0,0,0,0,0,0,0
"2013",447,22,21,1,0,0,0,0,0,0,0,0,0
"2014",656,23,23,0,0,0,0,0,0,0,0,0,0
"2015",629,38,33,3,0,0,0,0,1,0,0,0,0
"2016",660,36,34,2,0,0,0,0,0,0,0,0,0
"2017",679,29,26,1,1,0,0,0,0,0,0,1,0
"2018",676,27,25,1,1,0,0,0,0,0,0,0,0
"2019",338,10,8,1,1,0,0,0,0,0,0,0,0
"2021",654,33,30,2,0,0,0,1,0,0,0,0,0
"2022",615,20,20,0,0,0,0,0,0,0,0,0,0
"2023",632,32,30,2,0,0,0,0,0,0,0,0,0
"2024",630,28,28,0,0,0,0,0,0,0,0,0,0
"2025",668,32,28,2,0,0,0,0,0,0,0,0,0
"Average across years",610,30,27,1,0,0,0,0,0,0,0,0,0
