"year","satisfactory_tows"
"2003",542
"2004",470
"2005",641
"2006",642
"2007",687
"2008",681
"2009",683
"2010",714
"2011",698
"2012",698
"2013",469
"2014",679
"2015",667
"2016",696
"2017",708
"2018",703
"2019",348
"2021",687
"2022",635
"2023",664
"2024",658
"2025",700
