"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",272,302,96,48,45,35,26,18,17,26
"2004",279,226,60,33,42,22,19,14,18,27
"2005",348,327,83,50,58,38,38,19,22,30
"2006",316,337,85,61,58,41,32,17,29,27
"2007",326,371,104,49,60,54,24,26,39,37
"2008",321,364,108,55,67,40,37,16,27,25
"2009",342,342,97,59,51,44,25,19,29,32
"2010",356,360,114,61,65,42,23,20,20,29
"2011",350,349,95,48,68,53,21,17,24,35
"2012",352,349,88,59,52,52,26,23,37,28
"2013",222,249,73,35,46,24,12,14,27,29
"2014",336,349,95,59,60,37,22,30,36,32
"2015",334,338,83,59,56,36,19,30,34,41
"2016",337,355,91,64,54,35,20,26,33,50
"2017",344,364,92,51,66,39,28,34,36,41
"2018",336,368,73,55,83,38,34,26,32,46
"2019",174,175,42,23,36,24,17,7,11,19
"2021",338,346,75,54,64,50,23,27,37,35
"2022",323,312,62,53,55,42,22,23,28,40
"2023",334,328,73,42,58,51,23,21,34,41
"2024",325,334,71,49,64,41,21,27,34,40
