"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",563,11,8,2,0,1,0,0,0,0
"2004",493,12,6,2,3,1,0,0,0,0
"2005",665,10,7,2,1,0,0,0,0,0
"2006",646,7,6,0,1,0,0,0,0,0
"2007",690,7,5,1,0,1,0,0,0,0
"2008",681,4,2,2,0,0,0,0,0,0
"2009",675,9,7,1,1,0,0,0,0,0
"2010",700,16,14,1,1,0,0,0,0,0
"2011",678,21,14,4,3,0,0,0,0,0
"2012",690,11,10,1,0,0,0,0,0,0
"2013",457,14,14,0,0,0,0,0,0,0
"2014",671,14,11,3,0,0,0,0,0,0
"2015",664,8,5,2,1,0,0,0,0,0
"2016",682,10,5,2,2,1,0,0,0,0
"2017",695,13,9,2,2,0,0,0,0,0
"2018",688,16,13,0,3,0,0,0,0,0
"2019",347,2,2,0,0,0,0,0,0,0
"2021",674,10,9,0,1,0,0,0,0,0
"2022",623,12,11,0,0,1,0,0,0,0
"2023",657,5,2,1,2,0,0,0,0,0
"2024",650,9,7,1,1,0,0,0,0,0
