"year","unsatisfactory_tows"
"2003",69
"2004",62
"2005",74
"2006",53
"2007",73
"2008",65
"2009",52
"2010",57
"2011",38
"2012",57
"2013",26
"2014",32
"2015",33
"2016",31
"2017",30
"2018",28
"2019",20
"2021",31
"2022",25
"2023",24
"2024",23
