year,count_of_length_cm,count_of_otosag_id
2003,62,0
2004,9,8
2005,49,28
2006,27,27
2007,120,56
2008,74,65
2009,213,119
2010,107,107
2011,28,28
2012,471,310
2013,395,225
2014,37,37
2015,226,147
2016,100,100
2017,243,207
2018,217,160
2019,172,133
2021,283,204
2022,234,190
2023,289,243
2024,78,78
2025,211,193
