year,satisfactory_tows
2003,1084
2004,940
2005,1282
2006,1280
2007,1374
2008,1360
2009,1363
2010,1426
2011,1390
2012,1392
2013,936
2014,1356
2015,1332
2016,1384
2017,1416
2018,1402
2019,696
2021,1368
2022,1270
2023,1324
2024,1316
2025,1398
