year,count_of_length_cm,count_of_otosag_id
2003,216,10
2004,84,43
2005,78,67
2006,172,89
2007,92,83
2008,26,26
2009,141,123
2010,240,118
2011,313,152
2012,181,93
2013,364,246
2014,349,264
2015,149,93
2016,888,556
2017,310,214
2018,410,353
2019,219,161
2021,66,66
2022,125,109
2023,159,110
2024,485,347
2025,200,135
