"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",574,0,0,0,0,0,0,0,0,0
"2004",504,1,1,0,0,0,0,0,0,0
"2005",668,7,5,1,0,1,0,0,0,0
"2006",653,0,0,0,0,0,0,0,0,0
"2007",695,2,1,0,0,0,0,0,0,1
"2008",678,7,3,0,2,0,0,0,0,2
"2009",682,2,2,0,0,0,0,0,0,0
"2010",713,3,3,0,0,0,0,0,0,0
"2011",698,1,1,0,0,0,0,0,0,0
"2012",701,0,0,0,0,0,0,0,0,0
"2013",470,1,1,0,0,0,0,0,0,0
"2014",684,1,1,0,0,0,0,0,0,0
"2015",672,0,0,0,0,0,0,0,0,0
"2016",689,3,3,0,0,0,0,0,0,0
"2017",704,4,3,1,0,0,0,0,0,0
"2018",702,2,2,0,0,0,0,0,0,0
"2019",345,4,3,0,1,0,0,0,0,0
"2021",683,1,1,0,0,0,0,0,0,0
"2022",633,2,1,1,0,0,0,0,0,0
"2023",660,2,0,1,1,0,0,0,0,0
"2024",659,0,0,0,0,0,0,0,0,0
