"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",570,4,4,0,0,0,0,0,0,0
"2004",497,8,5,0,2,0,0,1,1,0
"2005",664,11,8,0,0,1,0,1,1,0
"2006",641,12,7,2,1,0,0,0,0,2
"2007",682,15,10,2,3,0,0,0,0,0
"2008",668,17,17,0,0,0,0,0,0,0
"2009",672,12,8,1,2,1,0,0,0,0
"2010",703,13,11,0,0,1,0,0,0,1
"2011",683,16,14,0,0,0,1,1,1,0
"2012",692,9,7,1,1,0,0,0,0,0
"2013",457,14,12,2,0,0,0,0,0,0
"2014",667,18,15,0,0,1,1,0,0,1
"2015",654,18,15,0,3,0,0,0,0,0
"2016",676,16,11,1,2,0,1,0,0,1
"2017",694,14,12,2,0,0,0,0,0,0
"2018",691,13,8,0,2,0,0,1,1,2
"2019",343,6,2,0,0,0,0,0,0,4
"2021",677,7,5,2,0,0,0,0,0,0
"2022",621,14,12,2,0,0,0,0,0,0
"2023",648,14,12,1,0,1,0,0,0,0
"2024",646,13,8,1,2,1,1,0,0,0
