"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",67,2,2,0,0,0,0,0,0,0
"2004",60,2,1,1,0,0,0,0,0,0
"2005",69,5,1,1,0,0,1,0,0,2
"2006",49,4,1,2,0,1,0,0,0,0
"2007",60,13,3,2,1,4,0,1,1,2
"2008",53,12,8,2,2,0,0,0,0,0
"2009",46,6,2,2,1,0,1,0,0,0
"2010",52,5,2,0,2,0,1,0,0,0
"2011",31,7,4,1,0,1,1,0,0,0
"2012",44,13,6,2,2,2,1,0,0,0
"2013",19,7,3,1,1,0,0,1,2,0
"2014",28,4,2,1,1,0,0,0,0,0
"2015",28,5,4,1,0,0,0,0,0,0
"2016",24,7,5,1,0,1,0,0,0,0
"2017",26,4,2,0,0,2,0,0,0,0
"2018",21,7,3,4,0,0,0,0,0,0
"2019",17,3,2,1,0,0,0,0,0,0
"2021",24,7,3,0,1,1,1,0,0,1
"2022",21,4,4,0,0,0,0,0,0,0
"2023",21,3,3,0,0,0,0,0,0,0
"2024",18,5,3,0,1,0,0,1,0,0
