"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",571,3,2,0,1,0,0,0,0,0
"2004",494,11,10,1,0,0,0,0,0,0
"2005",668,7,7,0,0,0,0,0,0,0
"2006",634,19,17,0,2,0,0,0,0,0
"2007",685,12,12,0,0,0,0,0,0,0
"2008",666,19,19,0,0,0,0,0,0,0
"2009",671,13,13,0,0,0,0,0,0,0
"2010",692,24,22,1,1,0,0,0,0,0
"2011",676,23,22,1,0,0,0,0,0,0
"2012",667,34,32,2,0,0,0,0,0,0
"2013",446,25,24,1,0,0,0,0,0,0
"2014",654,31,30,1,0,0,0,0,0,0
"2015",649,23,23,0,0,0,0,0,0,0
"2016",663,29,29,0,0,0,0,0,0,0
"2017",685,23,22,0,0,0,1,0,0,0
"2018",684,20,20,0,0,0,0,0,0,0
"2019",339,10,10,0,0,0,0,0,0,0
"2021",660,24,24,0,0,0,0,0,0,0
"2022",614,21,21,0,0,0,0,0,0,0
"2023",642,20,20,0,0,0,0,0,0,0
"2024",645,14,14,0,0,0,0,0,0,0
