"year","count_of_length_cm","count_of_otosag_id"
"2003",737,258
"2004",524,141
"2005",875,317
"2006",366,149
"2007",958,279
"2008",627,300
"2009",307,261
"2010",1089,876
"2011",786,467
"2012",887,334
"2013",379,149
"2014",1358,575
"2015",818,540
"2016",2256,1403
"2017",1750,733
"2018",856,593
"2019",538,315
"2021",395,309
"2022",417,261
"2023",714,495
"2024",691,425
"2025",482,303
