year,satisfactory_tows
2003,120
2004,72
2005,91
2006,81
2007,109
2008,98
2009,92
2010,108
2011,108
2012,107
2013,75
2014,104
2015,89
2016,83
2017,91
2018,95
2019,59
2021,87
2022,57
2023,115
2024,99
2025,99
