"year","satisfactory_tows"
"2003",574
"2004",505
"2005",675
"2006",653
"2007",697
"2008",685
"2009",684
"2010",716
"2011",699
"2012",701
"2013",471
"2014",685
"2015",672
"2016",692
"2017",708
"2018",704
"2019",349
"2021",684
"2022",635
"2023",662
"2024",659
