"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",69,0,0,0,0,0,0,0,0,0
"2004",62,0,0,0,0,0,0,0,0,0
"2005",74,0,0,0,0,0,0,0,0,0
"2006",53,0,0,0,0,0,0,0,0,0
"2007",72,1,1,0,0,0,0,0,0,0
"2008",64,1,1,0,0,0,0,0,0,0
"2009",51,1,1,0,0,0,0,0,0,0
"2010",55,2,1,0,1,0,0,0,0,0
"2011",37,1,1,0,0,0,0,0,0,0
"2012",57,0,0,0,0,0,0,0,0,0
"2013",26,0,0,0,0,0,0,0,0,0
"2014",31,1,1,0,0,0,0,0,0,0
"2015",33,0,0,0,0,0,0,0,0,0
"2016",30,1,1,0,0,0,0,0,0,0
"2017",30,0,0,0,0,0,0,0,0,0
"2018",28,0,0,0,0,0,0,0,0,0
"2019",20,0,0,0,0,0,0,0,0,0
"2021",31,0,0,0,0,0,0,0,0,0
"2022",24,1,1,0,0,0,0,0,0,0
"2023",23,1,1,0,0,0,0,0,0,0
"2024",23,0,0,0,0,0,0,0,0,0
