year,count_of_length_cm,count_of_otosag_id
2004,737,625
2005,864,815
2006,579,579
2007,907,905
2008,857,856
2009,1067,1066
2010,1151,1147
2011,1328,1318
2012,1184,1182
2013,1230,1228
2014,1708,1698
2015,1911,1904
2016,1904,1863
2017,2649,1027
2018,2648,1073
2019,2264,950
2021,2314,933
2022,2363,946
2023,2333,901
2024,2346,928
2025,2137,810
