"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",481,61,51,6,3,1,0,0,0,0
"2004",387,83,70,8,3,2,0,0,0,0
"2005",541,100,87,8,4,1,0,0,0,0
"2006",575,65,60,3,2,0,0,0,0,0
"2007",610,77,67,9,1,0,0,0,0,0
"2008",626,54,47,3,3,1,0,0,0,0
"2009",596,85,71,9,5,0,0,0,0,0
"2010",583,130,104,18,6,1,0,1,0,0
"2011",593,102,89,5,6,1,1,0,0,0
"2012",592,104,89,7,4,2,2,0,0,0
"2013",384,84,69,7,6,1,1,0,0,0
"2014",527,151,119,18,11,2,1,0,0,0
"2015",531,135,107,18,7,1,2,0,0,0
"2016",587,105,83,11,8,2,1,0,0,0
"2017",583,125,100,10,13,2,0,0,0,0
"2018",578,123,104,16,3,0,0,0,0,0
"2019",292,56,46,7,2,1,0,0,0,0
"2021",592,92,75,11,4,2,0,0,0,0
"2022",523,112,91,9,5,4,2,1,1,0
"2023",554,108,89,10,6,3,0,0,0,0
"2024",577,81,73,5,2,1,0,0,0,0
"2025",611,88,82,5,1,0,0,0,0,0
