"year","satisfactory_tows"
"2003",542
"2004",470
"2005",641
"2006",640
"2007",687
"2008",680
"2009",681
"2010",713
"2011",695
"2012",696
"2013",468
"2014",678
"2015",666
"2016",692
"2017",708
"2018",701
"2019",348
"2021",684
"2022",635
"2023",662
"2024",658
"2025",699
