"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",69,0,0,0,0,0,0,0,0,0
"2004",61,1,1,0,0,0,0,0,0,0
"2005",71,3,3,0,0,0,0,0,0,0
"2006",51,2,2,0,0,0,0,0,0,0
"2007",71,2,2,0,0,0,0,0,0,0
"2008",63,2,2,0,0,0,0,0,0,0
"2009",50,2,2,0,0,0,0,0,0,0
"2010",56,1,1,0,0,0,0,0,0,0
"2011",36,2,1,0,1,0,0,0,0,0
"2012",55,2,2,0,0,0,0,0,0,0
"2013",25,1,1,0,0,0,0,0,0,0
"2014",32,0,0,0,0,0,0,0,0,0
"2015",32,1,0,1,0,0,0,0,0,0
"2016",29,2,2,0,0,0,0,0,0,0
"2017",30,0,0,0,0,0,0,0,0,0
"2018",24,4,3,1,0,0,0,0,0,0
"2019",20,0,0,0,0,0,0,0,0,0
"2021",31,0,0,0,0,0,0,0,0,0
"2022",25,0,0,0,0,0,0,0,0,0
"2023",23,1,1,0,0,0,0,0,0,0
"2024",23,0,0,0,0,0,0,0,0,0
