"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",522,52,14,9,7,4,9,3,6,3
"2004",460,45,22,4,9,5,3,2,1,0
"2005",633,42,22,6,4,3,5,1,0,1
"2006",603,50,31,7,5,4,2,0,0,1
"2007",670,27,17,7,2,1,0,0,0,0
"2008",660,25,21,1,1,1,0,1,1,0
"2009",646,38,24,9,5,0,0,0,0,0
"2010",661,55,33,8,8,5,1,0,0,0
"2011",647,52,27,8,10,2,4,1,1,0
"2012",652,49,34,7,5,3,0,0,0,0
"2013",438,33,20,3,6,1,1,1,2,0
"2014",608,77,30,15,17,9,4,2,1,0
"2015",571,101,42,12,23,6,5,4,5,5
"2016",617,75,25,9,21,7,4,3,6,2
"2017",631,77,44,6,7,5,3,4,2,7
"2018",639,65,35,10,6,7,4,1,1,1
"2019",319,30,19,4,4,0,1,1,1,0
"2021",634,50,37,5,3,1,3,0,0,1
"2022",599,36,23,5,3,2,3,0,0,0
"2023",602,60,35,9,5,7,3,0,0,1
"2024",610,49,31,5,5,4,2,1,0,1
