"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",59,10,2,3,4,1,0,0,0,0
"2004",49,13,4,4,2,2,1,0,0,0
"2005",69,5,3,1,0,0,1,0,0,0
"2006",46,7,3,2,2,0,0,0,0,0
"2007",64,9,6,0,1,2,0,0,0,0
"2008",50,15,11,1,1,2,0,0,0,0
"2009",41,11,4,3,4,0,0,0,0,0
"2010",41,16,9,3,4,0,0,0,0,0
"2011",29,9,4,2,1,0,1,0,1,0
"2012",41,16,7,7,1,0,0,0,1,0
"2013",12,14,9,2,3,0,0,0,0,0
"2014",21,11,4,5,0,1,1,0,0,0
"2015",27,6,2,0,1,3,0,0,0,0
"2016",24,7,5,1,1,0,0,0,0,0
"2017",27,3,1,1,1,0,0,0,0,0
"2018",20,8,5,2,0,0,1,0,0,0
"2019",15,5,1,2,1,1,0,0,0,0
"2021",16,15,5,2,1,6,0,0,0,1
"2022",18,7,1,3,2,1,0,0,0,0
"2023",17,7,4,0,0,1,1,1,0,0
"2024",13,10,5,2,1,1,0,0,0,1
