"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",66,3,1,0,0,1,0,0,0,1
"2004",62,0,0,0,0,0,0,0,0,0
"2005",74,0,0,0,0,0,0,0,0,0
"2006",52,1,1,0,0,0,0,0,0,0
"2007",71,2,2,0,0,0,0,0,0,0
"2008",53,12,9,1,0,1,0,0,0,1
"2009",49,3,1,0,1,0,1,0,0,0
"2010",53,4,3,0,0,0,0,1,1,0
"2011",32,6,4,2,0,0,0,0,0,0
"2012",48,9,0,3,4,0,0,1,0,1
"2013",24,2,1,0,0,1,0,0,0,0
"2014",30,2,1,0,0,1,0,0,0,0
"2015",29,4,4,0,0,0,0,0,0,0
"2016",28,3,1,0,1,1,0,0,0,0
"2017",23,7,5,0,0,2,0,0,0,0
"2018",26,2,1,0,0,1,0,0,0,0
"2019",17,3,1,1,1,0,0,0,0,0
"2021",29,2,0,1,0,0,0,1,0,0
"2022",22,3,1,1,0,0,0,1,0,0
"2023",21,3,2,0,1,0,0,0,0,0
"2024",22,1,1,0,0,0,0,0,0,0
