year,count_of_length_cm,count_of_otosag_id
2003,3,0
2004,0,0
2005,2,2
2006,3,3
2007,1,1
2008,37,22
2009,3,3
2010,2,2
2011,6,6
2012,46,26
2013,1,1
2014,21,21
2015,8,8
2016,9,9
2017,14,14
2018,21,21
2019,16,16
2021,12,12
2022,13,13
2023,5,5
2024,10,10
2025,7,7
