"year","satisfactory_tows"
"2003",822
"2004",669
"2005",888
"2006",876
"2007",996
"2008",894
"2009",876
"2010",900
"2011",942
"2012",918
"2013",660
"2014",933
"2015",849
"2016",927
"2017",963
"2018",915
"2019",483
"2021",906
"2022",825
"2023",891
"2024",930
"2025",942
