"year","count_of_length_cm","count_of_otosag_id"
"2003",112,17
"2004",102,47
"2005",172,33
"2006",9,9
"2007",0,0
"2008",63,55
"2009",150,72
"2010",42,42
"2011",2,2
"2012",18,18
"2013",22,22
"2014",170,77
"2015",2,2
"2016",5,5
"2017",12,12
"2018",60,35
"2019",30,30
"2021",98,74
"2022",1,1
"2023",2,2
"2024",0,0
"2025",86,56
