"Year","Total no catch","Total postive catch","< 10","10 to 19","20 to 29","30 to 39","40 to 49","50 to 59","60 to 69","70 to 79","80 to 89","90 to 99","> 100"
"2003",196,3,2,0,0,0,0,0,0,0,0,0,1
"2004",211,5,3,0,1,0,0,0,0,1,0,0,0
"2005",279,5,3,0,0,0,0,0,0,0,0,0,1
"2006",298,4,4,0,0,0,0,0,0,0,0,0,0
"2007",298,0,0,0,0,0,0,0,0,0,0,0,0
"2008",321,6,4,1,0,1,0,0,0,0,0,0,0
"2009",319,5,3,1,0,0,0,0,0,0,0,0,1
"2010",335,3,2,0,0,0,0,0,0,0,0,0,0
"2011",320,2,2,0,0,0,0,0,0,0,0,0,0
"2012",312,5,4,1,0,0,0,0,0,0,0,0,0
"2013",178,9,9,0,0,0,0,0,0,0,0,0,0
"2014",306,5,2,0,0,1,0,0,0,0,0,0,1
"2015",326,2,2,0,0,0,0,0,0,0,0,0,0
"2016",311,2,2,0,0,0,0,0,0,0,0,0,0
"2017",318,4,4,0,0,0,0,0,0,0,0,0,0
"2018",333,2,0,0,0,0,0,0,0,0,0,0,1
"2019",166,1,0,0,0,0,0,0,0,0,0,0,0
"2021",324,3,1,0,0,0,1,0,0,0,0,0,1
"2022",313,1,1,0,0,0,0,0,0,0,0,0,0
"2023",299,2,2,0,0,0,0,0,0,0,0,0,0
"2024",293,0,0,0,0,0,0,0,0,0,0,0,0
"2025",318,2,1,0,0,0,0,0,0,0,0,0,0
"Average across years",289.727272727273,3.22727272727273,2.31818181818182,0.136363636363636,0.0454545454545455,0.0909090909090909,0.0454545454545455,0,0,0.0454545454545455,0,0,0.272727272727273
