Year,Total no catch,Total postive catch,< 10,10 to 19,20 to 29,30 to 39,40 to 49,50 to 59,60 to 69,70 to 79,80 to 89,90 to 99,> 99
2003,510,32,23,3,3,1,1,0,0,0,0,1,0
2004,444,26,10,6,1,1,0,0,0,1,0,0,2
2005,610,31,25,1,1,0,0,1,1,0,0,1,1
2006,596,44,31,6,3,1,0,1,0,0,1,0,1
2007,647,40,24,4,4,3,1,2,0,0,0,1,0
2008,639,41,30,1,3,0,2,0,1,1,0,0,2
2009,632,49,35,4,3,1,2,1,0,0,0,0,2
2010,675,38,23,3,5,2,0,1,1,0,2,0,1
2011,660,35,25,2,1,1,0,0,0,1,0,0,1
2012,661,35,25,4,0,1,0,0,1,1,0,1,0
2013,443,25,17,2,3,0,0,1,1,0,0,0,1
2014,643,35,25,4,2,2,0,0,0,0,1,0,0
2015,641,25,16,5,1,2,0,0,0,0,0,0,0
2016,652,40,25,0,2,1,1,2,0,2,3,0,2
2017,680,28,21,0,2,0,1,0,0,2,0,1,1
2018,664,37,24,4,2,2,2,1,0,0,0,0,2
2019,331,17,11,2,1,1,1,0,0,0,0,0,0
2021,637,47,33,9,1,0,0,1,0,1,0,0,1
2022,590,45,30,6,2,3,0,0,0,1,0,0,1
2023,633,29,19,2,2,2,1,1,0,0,1,0,0
2024,624,34,19,5,2,2,3,0,0,0,0,0,3
2025,659,40,31,2,1,0,1,1,0,0,0,0,1
Average across years,603,35,24,3,2,1,1,1,0,0,0,0,1
