year,count_of_length_cm,count_of_otosag_id
2003,371,0
2004,562,278
2005,231,133
2006,465,263
2007,653,307
2008,557,244
2009,672,371
2010,711,395
2011,268,225
2012,401,235
2013,246,218
2014,295,220
2015,248,208
2016,899,464
2017,334,213
2018,399,323
2019,208,164
2021,356,322
2022,412,350
2023,380,287
2024,492,372
2025,285,233
