year,count_of_length_cm,count_of_otosag_id
2004,8,7
2005,8,8
2006,15,15
2007,19,19
2008,22,22
2009,26,24
2010,31,31
2011,19,17
2012,24,24
2013,27,27
2014,46,46
2015,66,65
2016,41,41
2017,111,111
2018,124,124
2019,99,93
2021,136,136
2022,117,117
2023,163,163
2024,78,77
2025,135,135
