year,count_of_length_cm,count_of_otosag_id
2003,422,277
2004,483,256
2005,530,231
2006,623,247
2007,673,497
2008,792,452
2009,306,240
2010,495,397
2011,573,365
2012,851,596
2013,512,377
2014,1466,909
2015,1064,738
2016,1055,605
2017,970,528
2018,719,475
2019,544,360
2021,661,469
2022,694,491
2023,653,401
2024,649,292
2025,674,337
