Year,Total no catch,Total postive catch,< 10,10 to 19,20 to 29,30 to 39,40 to 49,50 to 59,60 to 69,70 to 79,80 to 89,90 to 99,> 99
2003,493,49,38,4,1,5,0,0,0,0,0,1,0
2004,432,38,30,1,2,0,0,2,2,0,0,0,1
2005,588,53,47,0,2,1,0,0,0,1,0,0,2
2006,608,32,24,1,1,1,0,1,1,0,0,0,3
2007,639,48,39,1,0,0,4,0,0,0,1,0,3
2008,645,35,24,1,1,2,0,0,0,1,0,0,3
2009,649,32,24,2,0,1,1,0,0,0,0,0,1
2010,662,51,41,3,1,2,0,0,1,0,0,0,1
2011,649,46,37,3,2,1,0,0,0,0,0,1,2
2012,641,55,41,1,4,1,0,0,1,0,2,0,3
2013,430,38,30,0,3,0,2,0,1,1,0,0,1
2014,604,74,53,6,1,1,0,2,1,1,1,0,7
2015,589,77,61,3,0,2,1,1,1,0,1,0,5
2016,612,80,59,3,5,1,3,0,2,0,0,0,3
2017,624,84,66,4,2,0,1,0,1,0,0,0,9
2018,636,65,48,4,4,3,0,1,1,0,1,1,2
2019,308,40,26,3,3,1,1,0,1,0,2,0,3
2021,631,53,41,3,3,2,1,0,0,0,0,0,3
2022,584,51,39,2,1,1,0,0,1,0,0,0,4
2023,601,61,48,3,3,0,0,1,0,2,0,0,1
2024,599,59,51,1,0,0,1,0,0,0,0,0,5
2025,641,58,48,3,0,0,1,1,0,2,0,0,3
Average across years,585,54,42,2,2,1,1,0,1,0,0,0,3
