"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",66,3,0,0,1,1,0,0,0,1
"2004",62,0,0,0,0,0,0,0,0,0
"2005",74,0,0,0,0,0,0,0,0,0
"2006",49,4,2,0,0,1,0,0,0,1
"2007",70,3,0,0,0,2,0,0,0,1
"2008",57,8,2,3,2,1,0,0,0,0
"2009",48,4,2,1,0,0,1,0,0,0
"2010",50,7,3,2,0,0,1,0,0,1
"2011",36,2,1,0,0,0,0,1,0,0
"2012",48,9,4,1,1,1,0,1,1,1
"2013",22,4,1,1,1,1,0,0,0,0
"2014",28,4,3,0,0,0,0,0,1,0
"2015",27,6,3,0,1,1,0,0,1,0
"2016",23,8,4,2,0,1,1,0,0,0
"2017",24,6,1,2,1,1,0,0,0,1
"2018",25,3,2,0,0,1,0,0,0,0
"2019",16,4,0,1,0,1,0,1,0,1
"2021",26,5,3,2,0,0,0,0,0,0
"2022",19,6,1,1,1,2,0,0,0,1
"2023",20,4,1,0,1,2,0,0,0,0
"2024",17,6,2,1,0,0,1,1,1,0
