"Year","Total no catch","Total postive catch","< 10","10 to 19","20 to 29","30 to 39","40 to 49","50 to 59","60 to 69","70 to 79","80 to 89","90 to 99","> 99"
"2003",407,135,39,13,6,6,3,4,2,2,1,4,49
"2004",372,98,30,1,3,4,5,0,1,3,1,3,42
"2005",513,128,35,8,8,5,4,5,2,3,2,2,48
"2006",493,147,54,9,11,8,7,3,2,4,3,0,40
"2007",527,160,42,21,7,6,2,0,6,1,3,1,63
"2008",528,152,52,12,3,3,3,4,3,7,2,2,55
"2009",527,154,47,12,7,7,3,2,2,1,5,1,59
"2010",584,129,38,12,8,5,2,9,2,0,1,3,46
"2011",562,133,45,11,7,3,5,4,3,0,3,0,44
"2012",560,136,50,11,8,5,5,5,0,3,0,3,42
"2013",366,102,36,6,7,1,0,2,2,0,2,0,36
"2014",538,140,59,14,5,2,4,4,1,1,1,1,42
"2015",535,131,53,10,1,5,4,3,2,0,3,4,41
"2016",563,129,43,14,9,5,1,5,3,2,0,1,43
"2017",578,130,46,9,9,3,0,6,2,0,2,0,50
"2018",587,114,37,5,10,4,3,2,4,2,2,5,35
"2019",275,73,27,4,1,0,4,1,2,1,1,2,25
"2021",554,130,41,13,5,7,6,3,3,2,2,0,44
"2022",496,139,46,5,8,6,4,6,3,0,2,1,48
"2023",543,119,44,8,4,3,4,1,0,4,2,4,44
"2024",539,119,33,8,11,3,5,1,4,4,2,1,44
"2025",575,124,47,12,3,3,7,5,5,2,2,1,34
"Average across years",510,128,43,10,6,4,4,3,2,2,2,2,44
