"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",66,3,0,2,0,1,0,0,0,0
"2004",62,0,0,0,0,0,0,0,0,0
"2005",74,0,0,0,0,0,0,0,0,0
"2006",51,2,1,0,0,0,0,0,0,1
"2007",72,1,0,0,0,0,0,1,0,0
"2008",62,3,1,0,0,0,0,0,0,2
"2009",50,2,1,1,0,0,0,0,0,0
"2010",54,3,1,0,0,0,0,0,0,2
"2011",37,1,1,0,0,0,0,0,0,0
"2012",50,7,2,1,1,0,0,0,2,1
"2013",24,2,0,0,0,0,0,0,0,2
"2014",28,4,2,1,0,0,0,0,0,1
"2015",28,5,3,0,0,0,0,0,0,2
"2016",28,3,1,1,1,0,0,0,0,0
"2017",24,6,2,1,1,0,0,1,0,1
"2018",26,2,2,0,0,0,0,0,0,0
"2019",17,3,0,0,0,1,0,2,2,0
"2021",31,0,0,0,0,0,0,0,0,0
"2022",20,5,1,0,1,0,0,0,0,3
"2023",21,3,0,0,0,1,0,2,2,0
"2024",21,2,1,0,0,0,0,1,1,0
