year,count_of_length_cm,count_of_otosag_id
2004,32,0
2005,39,0
2006,14,0
2007,26,0
2008,12,0
2009,19,0
2010,15,0
2011,31,0
2012,66,0
2013,94,2
2014,88,0
2015,83,0
2016,105,15
2017,79,31
2018,79,0
2019,44,2
2021,23,0
2022,33,3
2023,19,4
2024,22,0
2025,32,0
