"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",336,238,51,37,24,27,20,22,31,39
"2004",270,235,42,19,29,29,27,17,29,53
"2005",363,312,68,23,42,40,37,29,38,51
"2006",418,235,61,17,36,34,28,28,34,14
"2007",451,246,71,31,31,28,31,27,22,21
"2008",447,238,63,31,32,43,29,16,19,15
"2009",439,245,59,36,31,39,28,24,24,19
"2010",429,287,83,41,31,28,32,22,30,32
"2011",397,302,70,39,28,40,47,42,40,19
"2012",399,302,68,28,48,49,39,27,30,27
"2013",266,205,33,19,26,27,32,31,36,20
"2014",373,312,66,29,32,42,44,37,47,41
"2015",367,305,65,28,36,40,22,46,41,51
"2016",382,310,54,37,38,46,40,35,44,35
"2017",387,321,57,25,37,47,55,33,46,44
"2018",416,288,51,27,38,32,34,40,52,39
"2019",201,148,33,11,16,16,16,33,25,17
"2021",388,296,61,33,40,40,38,34,28,37
"2022",355,280,54,21,23,27,45,38,45,50
"2023",372,290,62,21,34,41,34,37,44,41
"2024",386,273,60,27,35,35,42,33,37,28
