year,count_of_length_cm,count_of_otosag_id
2004,780,724
2005,664,665
2006,730,733
2007,643,640
2008,652,649
2009,586,583
2010,271,268
2011,771,765
2012,1072,1067
2013,1127,1123
2014,1789,1790
2015,1947,806
2016,1256,536
2017,1349,554
2018,1416,581
2019,1376,498
2021,965,371
2022,1403,548
2023,1491,556
2024,1045,385
2025,1334,534
