year,count_of_length_cm,count_of_otosag_id
2004,24,24
2005,32,32
2006,61,62
2007,63,61
2008,117,115
2009,85,80
2010,93,89
2011,39,35
2012,69,63
2013,55,54
2014,124,122
2015,189,188
2016,120,112
2017,153,144
2018,253,237
2019,328,308
2021,420,410
2022,490,476
2023,494,480
2024,483,474
2025,614,610
