"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",67,2,2,0,0,0,0,0,0,0
"2004",62,0,0,0,0,0,0,0,0,0
"2005",73,1,1,0,0,0,0,0,0,0
"2006",52,1,1,0,0,0,0,0,0,0
"2007",73,0,0,0,0,0,0,0,0,0
"2008",62,3,3,0,0,0,0,0,0,0
"2009",51,1,1,0,0,0,0,0,0,0
"2010",57,0,0,0,0,0,0,0,0,0
"2011",34,4,4,0,0,0,0,0,0,0
"2012",56,1,1,0,0,0,0,0,0,0
"2013",26,0,0,0,0,0,0,0,0,0
"2014",27,5,5,0,0,0,0,0,0,0
"2015",33,0,0,0,0,0,0,0,0,0
"2016",26,5,5,0,0,0,0,0,0,0
"2017",29,1,1,0,0,0,0,0,0,0
"2018",27,1,1,0,0,0,0,0,0,0
"2019",19,1,1,0,0,0,0,0,0,0
"2021",29,2,1,1,0,0,0,0,0,0
"2022",25,0,0,0,0,0,0,0,0,0
"2023",24,0,0,0,0,0,0,0,0,0
"2024",23,0,0,0,0,0,0,0,0,0
