"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",125,449,69,21,44,37,38,44,61,163
"2004",83,422,66,29,48,37,32,43,64,133
"2005",104,571,89,33,51,55,56,49,84,187
"2006",116,537,92,41,50,38,41,50,75,184
"2007",115,582,87,46,35,46,52,71,83,204
"2008",129,556,98,32,40,55,43,61,73,192
"2009",139,545,108,40,45,51,38,55,74,163
"2010",116,600,134,41,48,53,62,64,87,151
"2011",127,572,127,44,45,41,49,47,85,162
"2012",141,560,109,45,49,49,45,53,79,164
"2013",57,414,54,30,41,41,51,45,65,113
"2014",108,577,89,41,56,43,71,65,87,164
"2015",101,571,90,34,54,52,55,49,73,193
"2016",112,580,88,36,42,47,58,61,87,202
"2017",121,587,94,40,49,40,40,55,79,220
"2018",111,593,82,42,55,46,54,60,77,217
"2019",58,291,51,18,21,23,34,37,41,86
"2021",106,578,76,38,44,57,49,64,83,209
"2022",82,553,89,34,41,51,40,42,77,205
"2023",101,561,94,44,36,41,46,51,94,191
"2024",75,584,100,50,55,48,53,57,80,179
