"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",568,6,4,0,1,1,0,0,0,0
"2004",497,8,5,1,1,1,0,0,0,0
"2005",667,8,5,0,2,1,0,0,0,0
"2006",649,4,4,0,0,0,0,0,0,0
"2007",690,7,5,2,0,0,0,0,0,0
"2008",675,10,10,0,0,0,0,0,0,0
"2009",672,12,12,0,0,0,0,0,0,0
"2010",703,13,12,1,0,0,0,0,0,0
"2011",681,18,14,4,0,0,0,0,0,0
"2012",692,9,8,1,0,0,0,0,0,0
"2013",461,10,8,2,0,0,0,0,0,0
"2014",677,8,6,1,1,0,0,0,0,0
"2015",662,10,8,1,0,1,0,0,0,0
"2016",682,10,7,3,0,0,0,0,0,0
"2017",692,16,15,1,0,0,0,0,0,0
"2018",698,6,5,0,1,0,0,0,0,0
"2019",343,6,6,0,0,0,0,0,0,0
"2021",673,11,11,0,0,0,0,0,0,0
"2022",623,12,11,0,1,0,0,0,0,0
"2023",647,15,14,0,1,0,0,0,0,0
"2024",647,12,10,2,0,0,0,0,0,0
