"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",551,23,16,2,3,0,2,0,0,0
"2004",485,20,9,3,3,2,0,1,1,2
"2005",647,28,15,2,5,3,1,1,1,0
"2006",616,37,24,4,1,3,0,0,3,2
"2007",668,29,18,4,3,1,2,0,1,0
"2008",641,44,30,7,2,2,1,2,0,0
"2009",644,40,23,5,5,3,0,2,4,0
"2010",672,44,22,7,5,6,2,1,1,1
"2011",655,44,35,1,3,2,2,0,1,0
"2012",658,43,29,4,3,2,3,0,2,0
"2013",440,31,15,7,3,4,0,1,1,1
"2014",647,38,18,3,6,3,2,2,3,3
"2015",633,39,16,10,4,3,1,3,2,1
"2016",658,34,19,5,5,3,1,1,1,0
"2017",670,38,21,5,6,1,0,3,2,1
"2018",659,45,23,6,3,4,2,2,3,3
"2019",333,16,10,0,0,3,2,1,0,0
"2021",645,39,24,3,5,2,0,3,3,1
"2022",599,36,16,7,5,0,3,1,1,3
"2023",621,41,26,3,3,6,3,0,0,0
"2024",623,36,20,5,2,2,3,4,2,0
