"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",573,1,1,0,0,0,0,0,0,0
"2004",502,3,3,0,0,0,0,0,0,0
"2005",672,3,3,0,0,0,0,0,0,0
"2006",652,1,1,0,0,0,0,0,0,0
"2007",694,3,3,0,0,0,0,0,0,0
"2008",683,2,2,0,0,0,0,0,0,0
"2009",678,6,5,0,1,0,0,0,0,0
"2010",714,2,2,0,0,0,0,0,0,0
"2011",698,1,1,0,0,0,0,0,0,0
"2012",699,2,2,0,0,0,0,0,0,0
"2013",470,1,1,0,0,0,0,0,0,0
"2014",685,0,0,0,0,0,0,0,0,0
"2015",672,0,0,0,0,0,0,0,0,0
"2016",690,2,2,0,0,0,0,0,0,0
"2017",703,5,5,0,0,0,0,0,0,0
"2018",700,4,4,0,0,0,0,0,0,0
"2019",345,4,3,0,1,0,0,0,0,0
"2021",684,0,0,0,0,0,0,0,0,0
"2022",632,3,3,0,0,0,0,0,0,0
"2023",661,1,1,0,0,0,0,0,0,0
"2024",655,4,3,1,0,0,0,0,0,0
