"Year","Total no catch","Total postive catch","< 10","10 to 19","20 to 29","30 to 39","40 to 49","50 to 59","60 to 69","70 to 79","80 to 89","90 to 99","> 100"
"2003",126,73,58,12,2,0,0,0,0,0,0,0,0
"2004",145,71,57,5,2,0,0,2,0,0,1,0,2
"2005",207,77,69,5,0,1,0,0,0,0,0,0,0
"2006",257,45,40,2,1,2,0,0,0,0,0,0,0
"2007",259,39,38,1,0,0,0,0,0,0,0,0,0
"2008",255,72,51,7,6,2,2,0,0,0,0,0,0
"2009",228,96,78,11,3,0,0,0,0,0,0,0,0
"2010",249,89,65,10,3,1,1,1,0,2,1,0,0
"2011",217,105,87,12,3,0,0,2,0,0,0,0,0
"2012",211,106,72,18,4,1,0,1,0,1,1,0,4
"2013",116,71,54,9,3,1,1,0,0,1,0,0,1
"2014",199,112,67,15,8,4,3,3,1,1,1,0,1
"2015",222,106,73,21,3,1,0,0,1,0,1,0,1
"2016",225,88,63,13,3,3,2,0,0,0,0,0,1
"2017",229,93,77,9,2,1,1,0,1,0,0,0,0
"2018",233,102,79,10,5,1,1,1,0,0,0,0,1
"2019",122,45,41,2,0,0,1,0,0,0,0,0,0
"2021",240,87,78,4,0,0,1,0,0,0,0,0,0
"2022",248,66,62,2,1,0,0,0,0,0,0,0,0
"2023",243,58,53,1,3,0,0,0,0,0,0,0,0
"2024",234,59,55,1,2,0,0,0,0,0,0,0,0
"2025",237,83,73,5,3,0,0,2,0,0,0,0,0
"Average across years",213.727272727273,79.2272727272727,63.1818181818182,7.95454545454545,2.59090909090909,0.818181818181818,0.590909090909091,0.545454545454545,0.136363636363636,0.227272727272727,0.227272727272727,0,0.5
