"year","satisfactory_tows"
"2003",199
"2004",216
"2005",284
"2006",302
"2007",298
"2008",327
"2009",324
"2010",338
"2011",322
"2012",317
"2013",187
"2014",311
"2015",328
"2016",313
"2017",322
"2018",335
"2019",167
"2021",327
"2022",314
"2023",301
"2024",293
"2025",320
