"Year","Total no catch","Total postive catch","< 10","10 to 19","20 to 29","30 to 39","40 to 49","50 to 59","60 to 69","70 to 79","80 to 89","90 to 99","> 99"
"2003",479,63,26,9,4,6,5,1,2,0,0,1,7
"2004",429,41,17,5,3,5,0,3,2,0,1,0,4
"2005",596,45,22,6,4,1,1,1,2,1,0,1,5
"2006",582,58,29,5,2,3,2,3,3,1,1,0,7
"2007",634,53,26,4,5,3,1,3,1,2,0,0,8
"2008",636,44,23,5,2,1,2,0,1,1,1,1,4
"2009",623,58,29,9,2,4,3,0,1,3,0,1,6
"2010",658,55,29,5,7,2,0,2,0,1,0,0,8
"2011",633,62,31,8,1,2,3,2,0,1,4,1,7
"2012",652,44,26,6,0,1,1,0,1,0,0,0,8
"2013",429,39,20,4,2,0,1,0,0,1,0,0,9
"2014",623,55,26,9,3,1,3,2,3,1,0,0,4
"2015",627,39,20,5,2,1,2,2,1,0,0,0,5
"2016",627,65,33,8,3,3,3,1,1,1,1,1,5
"2017",661,47,24,2,4,0,1,3,0,2,0,1,9
"2018",653,48,24,6,3,3,3,0,2,1,1,0,5
"2019",330,18,11,1,2,1,0,0,0,0,0,0,3
"2021",630,54,28,6,5,3,4,1,2,1,0,0,2
"2022",594,41,22,3,3,1,1,0,2,0,0,0,7
"2023",620,42,17,7,5,1,3,1,1,1,0,0,4
"2024",609,49,26,2,3,3,2,1,2,1,0,0,7
"2025",651,48,40,0,1,2,1,0,1,1,0,1,1
"Average across years",590,49,25,5,3,2,2,1,1,1,0,0,6
