Year,Total no catch,Total postive catch,< 10,10 to 19,20 to 29,30 to 39,40 to 49,50 to 59,60 to 69,70 to 79,80 to 89,90 to 99,> 99
2003,475,67,37,16,3,2,2,1,0,0,1,2,2
2004,415,55,31,3,4,4,2,2,3,0,1,0,2
2005,552,89,46,14,6,5,1,3,1,1,1,0,4
2006,553,87,45,12,5,8,3,3,3,3,0,0,1
2007,593,94,55,14,3,5,2,2,1,0,1,1,5
2008,562,118,72,14,11,3,1,5,0,1,0,1,4
2009,593,88,43,12,12,5,2,1,1,2,0,2,4
2010,622,91,45,15,6,7,1,5,1,0,1,1,1
2011,601,94,48,10,13,4,3,3,1,1,0,2,0
2012,595,101,55,14,11,7,3,2,4,1,1,0,0
2013,410,58,28,15,2,4,1,0,1,1,1,0,0
2014,595,83,45,6,10,4,3,2,2,2,0,0,2
2015,576,90,45,11,4,6,6,5,4,1,1,0,3
2016,601,91,35,19,7,12,3,2,3,0,0,3,2
2017,618,90,39,5,13,5,8,5,3,2,0,2,3
2018,601,100,47,18,7,3,5,3,2,3,0,1,5
2019,313,35,15,6,3,3,0,2,2,0,0,0,1
2021,595,89,47,11,7,4,4,2,0,1,1,1,5
2022,564,71,29,12,6,4,4,6,3,0,1,1,2
2023,578,84,41,11,9,3,7,3,2,0,1,1,1
2024,580,78,38,15,10,1,3,1,1,2,0,1,1
2025,608,91,52,8,5,4,4,2,0,3,1,2,3
Average across years,555,84,43,12,7,5,3,3,2,1,1,1,2
