Year,Total no catch,Total postive catch,< 10,10 to 19,20 to 29,30 to 39,40 to 49,50 to 59,60 to 69,70 to 79,80 to 89,90 to 99,> 99
2003,490,52,17,5,4,1,2,5,1,2,0,0,13
2004,437,33,19,1,1,0,1,0,0,0,0,0,9
2005,606,35,24,1,2,0,0,0,0,1,0,0,7
2006,597,43,25,3,2,0,1,1,0,0,0,1,9
2007,652,35,22,2,2,0,1,0,0,0,0,0,6
2008,654,26,10,4,0,3,1,0,0,2,0,0,6
2009,642,39,26,1,2,1,2,0,0,1,0,0,6
2010,670,43,35,3,0,0,1,1,0,1,0,0,2
2011,646,49,28,3,1,0,0,0,1,1,0,0,13
2012,655,41,21,4,1,4,1,0,0,2,2,0,6
2013,430,38,24,4,2,0,0,0,0,0,0,0,7
2014,623,55,33,2,5,0,3,1,2,0,1,0,8
2015,613,53,28,3,1,4,3,0,2,1,0,0,10
2016,636,56,37,5,1,1,1,0,1,0,1,0,8
2017,656,52,29,6,2,3,0,1,0,0,0,0,9
2018,654,47,30,3,3,0,1,1,1,0,0,1,7
2019,315,33,22,3,1,1,0,1,0,0,0,0,5
2021,627,57,34,4,2,2,1,0,1,0,2,0,9
2022,598,37,26,1,2,1,0,0,1,0,0,0,6
2023,621,41,30,3,0,0,0,1,0,0,0,0,7
2024,608,50,24,4,2,2,0,1,1,0,1,1,13
2025,660,39,23,4,3,2,0,0,0,0,0,1,6
Average across years,595,43,26,3,2,1,1,1,0,0,0,0,8
