"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",66,3,1,0,0,1,0,0,0,1
"2004",60,2,1,1,0,0,0,0,0,0
"2005",69,5,1,1,0,1,1,0,0,1
"2006",49,4,0,3,0,0,0,1,1,0
"2007",63,10,5,0,2,0,0,0,3,0
"2008",57,8,2,4,0,0,0,0,0,2
"2009",46,6,4,1,1,0,0,0,0,0
"2010",52,5,5,0,0,0,0,0,0,0
"2011",36,2,2,0,0,0,0,0,0,0
"2012",48,9,8,0,1,0,0,0,0,0
"2013",24,2,2,0,0,0,0,0,0,0
"2014",32,0,0,0,0,0,0,0,0,0
"2015",30,3,3,0,0,0,0,0,0,0
"2016",29,2,1,0,1,0,0,0,0,0
"2017",29,1,1,0,0,0,0,0,0,0
"2018",26,2,0,0,1,0,0,0,1,0
"2019",17,3,1,1,0,1,0,0,0,0
"2021",28,3,1,0,1,0,0,1,1,0
"2022",23,2,2,0,0,0,0,0,0,0
"2023",23,1,1,0,0,0,0,0,0,0
"2024",20,3,2,0,0,0,1,0,0,0
