"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",565,9,7,1,1,0,0,0,0,0
"2004",502,3,2,0,1,0,0,0,0,0
"2005",669,6,4,0,1,1,0,0,0,0
"2006",650,3,3,0,0,0,0,0,0,0
"2007",689,8,7,0,1,0,0,0,0,0
"2008",679,6,5,0,1,0,0,0,0,0
"2009",679,5,2,2,1,0,0,0,0,0
"2010",708,8,5,0,3,0,0,0,0,0
"2011",685,14,10,0,1,3,0,0,0,0
"2012",693,8,6,0,2,0,0,0,0,0
"2013",465,6,4,1,0,1,0,0,0,0
"2014",680,5,5,0,0,0,0,0,0,0
"2015",668,4,3,0,0,0,0,0,0,1
"2016",689,3,3,0,0,0,0,0,0,0
"2017",700,8,5,1,0,2,0,0,0,0
"2018",696,8,7,0,0,1,0,0,0,0
"2019",342,7,2,1,0,3,1,0,0,0
"2021",679,5,5,0,0,0,0,0,0,0
"2022",631,4,2,0,1,1,0,0,0,0
"2023",657,5,3,1,1,0,0,0,0,0
"2024",650,9,5,1,0,2,1,0,0,0
