"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",62,7,2,1,2,1,1,0,0,0
"2004",53,9,3,3,2,0,1,0,0,0
"2005",73,1,0,0,0,1,0,0,0,0
"2006",50,3,0,1,1,0,1,0,0,0
"2007",67,6,0,0,4,0,2,0,0,0
"2008",64,1,1,0,0,0,0,0,0,0
"2009",49,3,2,0,0,1,0,0,0,0
"2010",52,5,3,1,0,1,0,0,0,0
"2011",37,1,1,0,0,0,0,0,0,0
"2012",53,4,0,0,3,1,0,0,0,0
"2013",23,3,1,1,0,0,1,0,0,0
"2014",31,1,1,0,0,0,0,0,0,0
"2015",32,1,0,0,1,0,0,0,0,0
"2016",30,1,0,0,0,1,0,0,0,0
"2017",29,1,1,0,0,0,0,0,0,0
"2018",26,2,2,0,0,0,0,0,0,0
"2019",19,1,1,0,0,0,0,0,0,0
"2021",30,1,1,0,0,0,0,0,0,0
"2022",25,0,0,0,0,0,0,0,0,0
"2023",23,1,1,0,0,0,0,0,0,0
"2024",22,1,1,0,0,0,0,0,0,0
