"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",571,3,2,0,0,1,0,0,0,0
"2004",498,7,3,3,0,0,0,0,0,1
"2005",658,17,8,2,1,0,1,0,0,5
"2006",647,6,3,0,2,0,0,0,1,0
"2007",682,15,9,1,0,2,0,1,1,2
"2008",675,10,5,0,1,2,0,1,0,1
"2009",668,16,9,0,2,1,0,1,1,3
"2010",703,13,8,1,2,0,1,0,0,1
"2011",693,6,4,0,0,1,0,0,0,1
"2012",694,7,5,0,0,0,1,0,0,1
"2013",460,11,3,2,0,1,1,1,0,3
"2014",676,9,6,2,0,0,0,0,0,1
"2015",663,9,5,0,2,0,1,0,0,1
"2016",674,18,10,3,3,0,0,1,1,1
"2017",697,11,4,2,0,0,1,0,0,4
"2018",693,11,6,2,0,0,1,0,0,2
"2019",343,6,3,1,0,0,0,0,0,2
"2021",674,10,5,0,3,1,0,0,0,1
"2022",623,12,4,2,0,1,2,1,2,1
"2023",653,9,2,2,1,1,1,0,1,1
"2024",651,8,4,2,0,0,1,0,1,0
