"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",66,3,1,0,0,1,0,0,0,1
"2004",60,2,1,1,0,0,0,0,0,0
"2005",70,4,2,1,1,0,0,0,0,0
"2006",48,5,1,1,1,0,0,2,2,0
"2007",70,3,1,1,1,0,0,0,0,0
"2008",53,12,7,2,0,0,1,0,1,1
"2009",42,10,5,1,1,1,0,2,2,0
"2010",51,6,5,0,0,0,1,0,0,0
"2011",29,9,1,4,1,1,0,2,2,0
"2012",44,13,3,3,3,2,0,2,2,0
"2013",19,7,5,1,1,0,0,0,0,0
"2014",27,5,4,0,1,0,0,0,0,0
"2015",29,4,3,0,0,0,1,0,0,0
"2016",24,7,5,0,0,1,1,0,0,0
"2017",22,8,5,0,2,0,0,1,0,0
"2018",25,3,2,0,0,0,0,1,1,0
"2019",16,4,0,3,1,0,0,0,0,0
"2021",26,5,4,0,0,0,0,0,1,0
"2022",18,7,1,1,4,1,0,0,0,0
"2023",19,5,2,0,0,0,1,1,1,1
"2024",18,5,1,1,0,1,0,0,1,1
