"Year","Total no catch","Total postive catch","< 10","10 to 19","20 to 29","30 to 39","40 to 49","50 to 59","60 to 69","70 to 79","80 to 89","90 to 99","> 100"
"2003",540,2,2,0,0,0,0,0,0,0,0,0,0
"2004",467,3,3,0,0,0,0,0,0,0,0,0,0
"2005",639,2,2,0,0,0,0,0,0,0,0,0,0
"2006",640,0,0,0,0,0,0,0,0,0,0,0,0
"2007",687,0,0,0,0,0,0,0,0,0,0,0,0
"2008",680,0,0,0,0,0,0,0,0,0,0,0,0
"2009",681,0,0,0,0,0,0,0,0,0,0,0,0
"2010",713,0,0,0,0,0,0,0,0,0,0,0,0
"2011",695,0,0,0,0,0,0,0,0,0,0,0,0
"2012",696,0,0,0,0,0,0,0,0,0,0,0,0
"2013",467,1,1,0,0,0,0,0,0,0,0,0,0
"2014",676,2,2,0,0,0,0,0,0,0,0,0,0
"2015",665,1,0,1,0,0,0,0,0,0,0,0,0
"2016",692,0,0,0,0,0,0,0,0,0,0,0,0
"2017",707,1,1,0,0,0,0,0,0,0,0,0,0
"2018",700,1,1,0,0,0,0,0,0,0,0,0,0
"2019",348,0,0,0,0,0,0,0,0,0,0,0,0
"2021",684,0,0,0,0,0,0,0,0,0,0,0,0
"2022",634,1,1,0,0,0,0,0,0,0,0,0,0
"2023",660,2,2,0,0,0,0,0,0,0,0,0,0
"2024",656,2,2,0,0,0,0,0,0,0,0,0,0
"2025",698,1,1,0,0,0,0,0,0,0,0,0,0
"Average across years",637.5,0.863636363636364,0.818181818181818,0.0454545454545455,0,0,0,0,0,0,0,0,0
