"year","zero","greater_than_zero","one_to_five","six_to_ten","eleven_to_twenty","twentyone_to_thirtyfive","thirtysix_to_fiftyfive","fiftysix_to_eightyfive","eightysix_to_onehundredfifteen","greater_than_onehundredfifteen"
"2003",567,7,5,0,1,0,1,0,0,0
"2004",495,10,8,1,1,0,0,0,0,0
"2005",668,7,6,1,0,0,0,0,0,0
"2006",644,9,8,1,0,0,0,0,0,0
"2007",684,13,12,0,1,0,0,0,0,0
"2008",677,8,8,0,0,0,0,0,0,0
"2009",673,11,10,1,0,0,0,0,0,0
"2010",708,8,8,0,0,0,0,0,0,0
"2011",694,5,5,0,0,0,0,0,0,0
"2012",695,6,4,0,1,0,1,0,0,0
"2013",467,4,4,0,0,0,0,0,0,0
"2014",680,5,4,1,0,0,0,0,0,0
"2015",667,5,3,2,0,0,0,0,0,0
"2016",684,8,8,0,0,0,0,0,0,0
"2017",701,7,5,1,0,1,0,0,0,0
"2018",695,9,7,2,0,0,0,0,0,0
"2019",346,3,2,0,1,0,0,0,0,0
"2021",683,1,1,0,0,0,0,0,0,0
"2022",629,6,6,0,0,0,0,0,0,0
"2023",657,5,3,0,2,0,0,0,0,0
"2024",653,6,6,0,0,0,0,0,0,0
