"Year","Total no catch","Total postive catch","< 10","10 to 19","20 to 29","30 to 39","40 to 49","50 to 59","60 to 69","70 to 79","80 to 89","90 to 99","> 99"
"2003",407,135,26,5,4,3,5,6,8,3,2,5,63
"2004",304,166,18,7,7,9,7,7,1,3,7,4,89
"2005",419,222,21,15,7,8,10,7,6,7,6,9,122
"2006",464,176,28,10,10,11,14,5,7,3,4,1,77
"2007",497,190,42,16,10,12,13,8,8,4,3,6,62
"2008",478,202,27,10,8,6,5,2,6,6,8,7,110
"2009",463,218,31,10,12,3,8,7,8,4,2,7,118
"2010",472,241,32,12,11,6,11,8,17,2,4,2,125
"2011",455,240,31,11,12,7,8,7,7,12,4,5,131
"2012",456,240,30,12,14,7,7,5,7,4,5,11,129
"2013",309,159,12,4,7,5,3,7,6,3,4,4,100
"2014",437,241,27,8,9,5,6,4,1,4,7,5,158
"2015",420,246,33,11,12,9,9,6,7,7,4,8,130
"2016",469,223,28,15,11,7,6,6,11,7,4,6,109
"2017",466,242,20,14,11,12,8,9,6,10,13,10,122
"2018",474,227,30,9,11,8,10,7,2,6,14,7,120
"2019",238,110,19,10,2,4,11,5,3,4,2,0,50
"2021",450,234,43,14,15,10,3,8,8,9,9,6,99
"2022",412,223,24,16,8,9,11,8,7,5,6,3,117
"2023",441,221,20,14,8,12,9,10,7,9,6,3,120
"2024",437,221,24,15,13,10,8,9,5,9,4,4,109
"2025",466,233,30,7,14,4,9,11,12,6,8,6,120
"Average across years",429,210,27,11,10,8,8,7,7,6,6,5,108
